team,opp,projected_off__pts,date,season_year
NYJ,TAM,17,2022-01-02,2021
BUF,ATL,29,2022-01-02,2021
ATL,BUF,16,2022-01-02,2021
DAL,ARI,26,2022-01-02,2021
ARI,DAL,24,2022-01-02,2021
NOR,CAR,24,2022-01-02,2021
CAR,NOR,17,2022-01-02,2021
PHI,WAS,23,2022-01-02,2021
WAS,PHI,21,2022-01-02,2021
KAN,CIN,26,2022-01-02,2021
CIN,KAN,22,2022-01-02,2021
NWE,JAX,29,2022-01-02,2021
JAX,NWE,14,2022-01-02,2021
TEN,MIA,22,2022-01-02,2021
MIA,TEN,19,2022-01-02,2021
LAC,DEN,26,2022-01-02,2021
DEN,LAC,20,2022-01-02,2021
SFO,HOU,30,2022-01-02,2021
HOU,SFO,15,2022-01-02,2021
SEA,DET,26,2022-01-02,2021
DET,SEA,16,2022-01-02,2021
LAR,BAL,24,2022-01-02,2021
BAL,LAR,22,2022-01-02,2021
GNB,MIN,26,2022-01-02,2021
MIN,GNB,20,2022-01-02,2021
CLE,PIT,21,2022-01-03,2021
PIT,CLE,20,2022-01-03,2021
DAL,PHI,24,2022-01-08,2021
PHI,DAL,21,2022-01-08,2021
KAN,DEN,23,2022-01-08,2021
DEN,KAN,20,2022-01-08,2021
GNB,DET,24,2022-01-09,2021
DET,GNB,20,2022-01-09,2021
MIN,CHI,24,2022-01-09,2021
CHI,MIN,20,2022-01-09,2021
NWE,MIA,24,2022-01-09,2021
MIA,NWE,17,2022-01-09,2021
IND,JAX,29,2022-01-09,2021
JAX,IND,14,2022-01-09,2021
BUF,NYJ,28,2022-01-09,2021
NYJ,BUF,12,2022-01-09,2021
TAM,CAR,27,2022-01-09,2021
CAR,TAM,16,2022-01-09,2021
TEN,HOU,27,2022-01-09,2021
HOU,TEN,15,2022-01-09,2021
WAS,NYG,22,2022-01-09,2021
NYG,WAS,15,2022-01-09,2021
NOR,ATL,22,2022-01-09,2021
ATL,NOR,18,2022-01-09,2021
BAL,PIT,22,2022-01-09,2021
PIT,BAL,19,2022-01-09,2021
CLE,CIN,22,2022-01-09,2021
CIN,CLE,16,2022-01-09,2021
ARI,SEA,27,2022-01-09,2021
SEA,ARI,22,2022-01-09,2021
LAR,SFO,24,2022-01-09,2021
SFO,LAR,21,2022-01-09,2021
LAC,LVR,26,2022-01-09,2021
LVR,LAC,23,2022-01-09,2021
CIN,LVR,27,2022-01-15,2021
LVR,CIN,21,2022-01-15,2021
BUF,NWE,24,2022-01-15,2021
NWE,BUF,20,2022-01-15,2021
TAM,PHI,30,2022-01-16,2021
PHI,TAM,20,2022-01-16,2021
DAL,SFO,26,2022-01-16,2021
SFO,DAL,24,2022-01-16,2021
KAN,PIT,30,2022-01-16,2021
PIT,KAN,17,2022-01-16,2021
LAR,ARI,27,2022-01-17,2021
ARI,LAR,23,2022-01-17,2021
TEN,CIN,27,2022-01-22,2021
CIN,TEN,21,2022-01-22,2021
GNB,SFO,26,2022-01-22,2021
SFO,GNB,22,2022-01-22,2021
TAM,LAR,25,2022-01-23,2021
LAR,TAM,23,2022-01-23,2021
KAN,BUF,28,2022-01-23,2021
BUF,KAN,26,2022-01-23,2021
KAN,CIN,28,2022-01-30,2021
CIN,KAN,21,2022-01-30,2021
LAR,SFO,25,2022-01-30,2021
SFO,LAR,22,2022-01-30,2021
